Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
cell_03_val_R1	(1, 36.474)	(2, 35.598)	(3, 35.504)	(4, 35.558)	(5, 35.59)	(6, 35.406)	(7, 35.358)	(8, 35.57)	(9, 35.398)	(10, 35.55)	(12, 35.629000000000005)	(14, 34.412)	(16, 34.510000000000005)	(18, 34.534)	(20, 34.536)	(22, 34.57899999999999)	(24, 34.370000000000005)	(26, 34.021)	(28, 33.462999999999994)	(30, 33.39)	(32, 33.516999999999996)	(34, 33.598)	(36, 33.426)	(38, 33.055)	(40, 32.495000000000005)	(42, 32.492000000000004)	(44, 32.515)	(46, 32.44)	(48, 32.538)	(50, 32.489999999999995)	(52, 31.423000000000002)	(54, 31.733)	(56, 31.5)	(58, 31.525)	(60, 31.497999999999998)	(62, 31.547)	(64, 30.551000000000002)	(66, 30.426000000000002)	(68, 30.506)	(70, 30.499)	(72, 30.529)	(74, 30.375)	(76, 30.064)	(78, 29.391)	(80, 29.498)	(82, 29.402)	(84, 29.614)	(86, 29.467)	(88, 29.055999999999997)	(90, 28.54)	(92, 28.547623246492986)	(94, 28.537074148296593)	(96, 28.678068410462778)	(98, 28.416498993963785)	(100, 28.422535211267604)
cell_03_val_R2	(1, 36.528)	(2, 35.498)	(3, 35.554)	(4, 35.5)	(5, 35.518)	(6, 35.454)	(7, 35.532)	(8, 35.46)	(9, 35.516)	(10, 35.519999999999996)	(12, 35.637)	(14, 34.519)	(16, 34.54)	(18, 34.413)	(20, 34.318)	(22, 34.548)	(24, 34.572)	(26, 34.024)	(28, 33.541)	(30, 33.557)	(32, 33.342)	(34, 33.349)	(36, 33.555)	(38, 33.037)	(40, 32.378)	(42, 32.254)	(44, 32.588)	(46, 32.571)	(48, 32.31)	(50, 32.339)	(52, 31.542)	(54, 31.471)	(56, 31.381)	(58, 31.557000000000002)	(60, 31.491999999999997)	(62, 31.466)	(64, 30.476)	(66, 30.442999999999998)	(68, 30.467)	(70, 30.566000000000003)	(72, 30.473)	(74, 30.428)	(76, 30.073999999999998)	(78, 29.439)	(80, 29.545)	(82, 29.502000000000002)	(84, 29.34)	(86, 29.573)	(88, 28.973)	(90, 28.456)	(92, 28.470595190380763)	(94, 28.42433260094486)	(96, 28.50201207243461)	(98, 28.47082494969819)	(100, 28.58350100603622)
cell_04_R1	(1, 36.552)	(2, 35.482)	(3, 35.602)	(4, 35.566)	(5, 35.596)	(6, 35.456)	(7, 35.644)	(8, 35.576)	(9, 35.364)	(10, 35.421)	(12, 35.572)	(14, 34.577)	(16, 34.326)	(18, 34.605000000000004)	(20, 34.53)	(22, 34.446)	(24, 34.510000000000005)	(26, 33.979)	(28, 33.589)	(30, 33.598)	(32, 33.414)	(34, 33.543000000000006)	(36, 33.409)	(38, 33.123000000000005)	(40, 32.688)	(42, 32.406000000000006)	(44, 32.416)	(46, 32.457)	(48, 32.622)	(50, 32.562)	(52, 31.285)	(54, 31.5)	(56, 31.46)	(58, 31.424)	(60, 31.68)	(62, 31.445)	(64, 30.529)	(66, 30.573)	(68, 30.413)	(70, 30.52)	(72, 30.52)	(74, 30.533)	(76, 29.977)	(78, 29.476)	(80, 29.463)	(82, 29.384)	(84, 29.446)	(86, 29.53)	(88, 29.006)	(90, 28.516)	(92, 28.552)	(94, 28.459)	(96, 28.555999999999997)	(98, 28.551000000000002)	(100, 28.576)
cell_04_R2	(1, 36.518)	(2, 35.546)	(3, 35.344)	(4, 35.324)	(5, 35.542)	(6, 35.302)	(7, 35.562)	(8, 35.616)	(9, 35.54)	(10, 35.574)	(12, 35.436)	(14, 34.599000000000004)	(16, 34.559)	(18, 34.412)	(20, 34.516999999999996)	(22, 34.39)	(24, 34.486000000000004)	(26, 33.866)	(28, 33.47)	(30, 33.474000000000004)	(32, 33.474000000000004)	(34, 33.485)	(36, 33.489000000000004)	(38, 33.031000000000006)	(40, 32.564)	(42, 32.46)	(44, 32.507000000000005)	(46, 32.5)	(48, 32.496)	(50, 32.474000000000004)	(52, 31.461)	(54, 31.383000000000003)	(56, 31.415)	(58, 31.54)	(60, 31.375)	(62, 31.575)	(64, 30.484)	(66, 30.682)	(68, 30.541)	(70, 30.359)	(72, 30.546)	(74, 30.603)	(76, 30.023)	(78, 29.578000000000003)	(80, 29.549)	(82, 29.488)	(84, 29.677)	(86, 29.439999999999998)	(88, 28.959)	(90, 28.535)	(92, 28.477)	(94, 28.621000000000002)	(96, 28.48)	(98, 28.552)	(100, 28.486)
cell_04_val_R1	(1, 36.552)	(2, 35.482)	(3, 35.602)	(4, 35.566)	(5, 35.596)	(6, 35.456)	(7, 35.644)	(8, 35.576)	(9, 35.364)	(10, 35.421)	(12, 35.572)	(14, 34.577)	(16, 34.326)	(18, 34.605000000000004)	(20, 34.53)	(22, 34.446)	(24, 34.510000000000005)	(26, 33.979)	(28, 33.589)	(30, 33.598)	(32, 33.414)	(34, 33.543000000000006)	(36, 33.409)	(38, 33.123000000000005)	(40, 32.688)	(42, 32.406000000000006)	(44, 32.416)	(46, 32.457)	(48, 32.622)	(50, 32.562)	(52, 31.285)	(54, 31.5)	(56, 31.46)	(58, 31.424)	(60, 31.68)	(62, 31.445)	(64, 30.529)	(66, 30.573)	(68, 30.413)	(70, 30.52)	(72, 30.52)	(74, 30.533)	(76, 29.977)	(78, 29.476)	(80, 29.463)	(82, 29.384)	(84, 29.446)	(86, 29.53)	(88, 29.006)	(90, 28.516)	(92, 28.552)	(94, 28.459)	(96, 28.555999999999997)	(98, 28.551000000000002)	(100, 28.576)
cell_04_val_R2	(1, 36.518)	(2, 35.546)	(3, 35.344)	(4, 35.324)	(5, 35.542)	(6, 35.302)	(7, 35.562)	(8, 35.616)	(9, 35.54)	(10, 35.574)	(12, 35.436)	(14, 34.599000000000004)	(16, 34.559)	(18, 34.412)	(20, 34.516999999999996)	(22, 34.39)	(24, 34.486000000000004)	(26, 33.866)	(28, 33.47)	(30, 33.474000000000004)	(32, 33.474000000000004)	(34, 33.485)	(36, 33.489000000000004)	(38, 33.031000000000006)	(40, 32.564)	(42, 32.46)	(44, 32.507000000000005)	(46, 32.5)	(48, 32.496)	(50, 32.474000000000004)	(52, 31.461)	(54, 31.383000000000003)	(56, 31.415)	(58, 31.54)	(60, 31.375)	(62, 31.575)	(64, 30.484)	(66, 30.682)	(68, 30.541)	(70, 30.359)	(72, 30.546)	(74, 30.603)	(76, 30.023)	(78, 29.578000000000003)	(80, 29.549)	(82, 29.488)	(84, 29.677)	(86, 29.439999999999998)	(88, 28.959)	(90, 28.535)	(92, 28.47795591182365)	(94, 28.61923847695391)	(96, 28.483967935871746)	(98, 28.5561122244489)	(100, 28.488977955911825)
cell_05_R1	(1, 36.622)	(2, 35.368)	(3, 35.47)	(4, 35.484)	(5, 35.444)	(6, 35.586)	(7, 35.566)	(8, 35.358)	(9, 35.586)	(10, 35.581)	(12, 35.473)	(14, 34.635000000000005)	(16, 34.632999999999996)	(18, 34.369)	(20, 34.581)	(22, 34.448)	(24, 34.54)	(26, 33.915)	(28, 33.473)	(30, 33.485)	(32, 33.527)	(34, 33.388999999999996)	(36, 33.585)	(38, 33.135999999999996)	(40, 32.548)	(42, 32.588)	(44, 32.608)	(46, 32.584999999999994)	(48, 32.508)	(50, 32.566)	(52, 31.593)	(54, 31.5)	(56, 31.542)	(58, 31.439)	(60, 31.564999999999998)	(62, 31.607)	(64, 30.445)	(66, 30.573)	(68, 30.598)	(70, 30.436)	(72, 30.448)	(74, 30.506999999999998)	(76, 30.043999999999997)	(78, 29.611)	(80, 29.522)	(82, 29.541)	(84, 29.531)	(86, 29.458)	(88, 28.923000000000002)	(90, 28.554000000000002)	(92, 28.457)	(94, 28.502000000000002)	(96, 28.426)	(98, 28.537)	(100, 28.578)
cell_05_R2	(1, 36.622)	(2, 35.538)	(3, 35.556)	(4, 35.432)	(5, 35.522)	(6, 35.66)	(7, 35.506)	(8, 35.358)	(9, 35.596)	(10, 35.518)	(12, 35.527)	(14, 34.417)	(16, 34.538)	(18, 34.581)	(20, 34.568)	(22, 34.474999999999994)	(24, 34.532)	(26, 33.939)	(28, 33.483000000000004)	(30, 33.463)	(32, 33.434)	(34, 33.56)	(36, 33.481)	(38, 33.116)	(40, 32.525)	(42, 32.428)	(44, 32.541)	(46, 32.614000000000004)	(48, 32.519999999999996)	(50, 32.348)	(52, 31.525)	(54, 31.479)	(56, 31.457)	(58, 31.427999999999997)	(60, 31.354)	(62, 31.602)	(64, 30.512)	(66, 30.576)	(68, 30.389000000000003)	(70, 30.476)	(72, 30.618000000000002)	(74, 30.36)	(76, 29.939)	(78, 29.433)	(80, 29.342)	(82, 29.447000000000003)	(84, 29.646)	(86, 29.606)	(88, 29.035)	(90, 28.584000000000003)	(92, 28.511000000000003)	(94, 28.631)	(96, 28.433)	(98, 28.325)	(100, 28.526)
cell_05_val_R1	(1, 36.622)	(2, 35.368)	(3, 35.47)	(4, 35.484)	(5, 35.444)	(6, 35.586)	(7, 35.566)	(8, 35.358)	(9, 35.586)	(10, 35.581)	(12, 35.473)	(14, 34.635000000000005)	(16, 34.632999999999996)	(18, 34.369)	(20, 34.581)	(22, 34.448)	(24, 34.54)	(26, 33.915)	(28, 33.473)	(30, 33.485)	(32, 33.527)	(34, 33.388999999999996)	(36, 33.585)	(38, 33.135999999999996)	(40, 32.548)	(42, 32.588)	(44, 32.608)	(46, 32.584999999999994)	(48, 32.508)	(50, 32.566)	(52, 31.593)	(54, 31.5)	(56, 31.542)	(58, 31.439)	(60, 31.564999999999998)	(62, 31.607)	(64, 30.445)	(66, 30.573)	(68, 30.598)	(70, 30.436)	(72, 30.448)	(74, 30.506999999999998)	(76, 30.043999999999997)	(78, 29.611)	(80, 29.522)	(82, 29.541)	(84, 29.531)	(86, 29.458)	(88, 28.923000000000002)	(90, 28.554000000000002)	(92, 28.45390781563126)	(94, 28.5)	(96, 28.425851703406813)	(98, 28.53807615230461)	(100, 28.571142284569138)
cell_05_val_R2	(1, 36.622)	(2, 35.538)	(3, 35.556)	(4, 35.432)	(5, 35.522)	(6, 35.66)	(7, 35.506)	(8, 35.358)	(9, 35.596)	(10, 35.518)	(12, 35.527)	(14, 34.417)	(16, 34.538)	(18, 34.581)	(20, 34.568)	(22, 34.474999999999994)	(24, 34.532)	(26, 33.939)	(28, 33.483000000000004)	(30, 33.463)	(32, 33.434)	(34, 33.56)	(36, 33.481)	(38, 33.116)	(40, 32.525)	(42, 32.428)	(44, 32.541)	(46, 32.614000000000004)	(48, 32.519999999999996)	(50, 32.348)	(52, 31.525)	(54, 31.479)	(56, 31.457)	(58, 31.427999999999997)	(60, 31.354)	(62, 31.602)	(64, 30.512)	(66, 30.576)	(68, 30.389000000000003)	(70, 30.476)	(72, 30.618000000000002)	(74, 30.36)	(76, 29.939)	(78, 29.433)	(80, 29.342)	(82, 29.447000000000003)	(84, 29.646)	(86, 29.606)	(88, 29.035)	(90, 28.584000000000003)	(92, 28.512024048096194)	(94, 28.63627254509018)	(96, 28.432865731462925)	(98, 28.32565130260521)	(100, 28.529058116232466)
cell_06_R1	(1, 36.554)	(2, 35.488)	(3, 35.464)	(4, 35.388)	(5, 35.51)	(6, 35.546)	(7, 35.532)	(8, 35.466)	(9, 35.368)	(10, 35.568)	(12, 35.456)	(14, 34.585)	(16, 34.592)	(18, 34.456)	(20, 34.459)	(22, 34.463)	(24, 34.525)	(26, 34.041)	(28, 33.483999999999995)	(30, 33.379000000000005)	(32, 33.484)	(34, 33.569)	(36, 33.585)	(38, 32.936)	(40, 32.562)	(42, 32.474000000000004)	(44, 32.483000000000004)	(46, 32.525000000000006)	(48, 32.429)	(50, 32.632999999999996)	(52, 31.526)	(54, 31.485)	(56, 31.63)	(58, 31.541)	(60, 31.394)	(62, 31.464)	(64, 30.539)	(66, 30.551)	(68, 30.332)	(70, 30.475)	(72, 30.401000000000003)	(74, 30.43)	(76, 30.055)	(78, 29.479)	(80, 29.439999999999998)	(82, 29.576999999999998)	(84, 29.461)	(86, 29.461)	(88, 29.099)	(90, 28.45)	(92, 28.469)	(94, 28.454)	(96, 28.561)	(98, 28.432000000000002)	(100, 28.802)
cell_06_R2	(1, 36.594)	(2, 35.726)	(3, 35.454)	(4, 35.484)	(5, 35.448)	(6, 35.312)	(7, 35.542)	(8, 35.508)	(9, 35.354)	(10, 35.604)	(12, 35.547)	(14, 34.608999999999995)	(16, 34.528999999999996)	(18, 34.427)	(20, 34.5)	(22, 34.547)	(24, 34.438)	(26, 33.972)	(28, 33.671)	(30, 33.599000000000004)	(32, 33.588)	(34, 33.537)	(36, 33.533)	(38, 32.808)	(40, 32.483000000000004)	(42, 32.394999999999996)	(44, 32.447)	(46, 32.43300000000001)	(48, 32.607)	(50, 32.504999999999995)	(52, 31.418)	(54, 31.334)	(56, 31.447)	(58, 31.521)	(60, 31.543999999999997)	(62, 31.511000000000003)	(64, 30.552)	(66, 30.393)	(68, 30.496000000000002)	(70, 30.442999999999998)	(72, 30.353)	(74, 30.534)	(76, 29.924)	(78, 29.484)	(80, 29.46)	(82, 29.558)	(84, 29.376)	(86, 29.564999999999998)	(88, 29.055999999999997)	(90, 28.521)	(92, 28.546)	(94, 28.517000000000003)	(96, 28.625999999999998)	(98, 28.594)	(100, 28.39)
cell_06_val_R1	(1, 36.554)	(2, 35.488)	(3, 35.464)	(4, 35.388)	(5, 35.51)	(6, 35.546)	(7, 35.532)	(8, 35.466)	(9, 35.368)	(10, 35.568)	(12, 35.456)	(14, 34.585)	(16, 34.592)	(18, 34.456)	(20, 34.459)	(22, 34.463)	(24, 34.525)	(26, 34.041)	(28, 33.483999999999995)	(30, 33.379000000000005)	(32, 33.484)	(34, 33.569)	(36, 33.585)	(38, 32.936)	(40, 32.562)	(42, 32.474000000000004)	(44, 32.483000000000004)	(46, 32.525000000000006)	(48, 32.429)	(50, 32.632999999999996)	(52, 31.526)	(54, 31.485)	(56, 31.63)	(58, 31.541)	(60, 31.394)	(62, 31.464)	(64, 30.539)	(66, 30.551)	(68, 30.332)	(70, 30.475)	(72, 30.401000000000003)	(74, 30.43)	(76, 30.055)	(78, 29.479)	(80, 29.439999999999998)	(82, 29.576999999999998)	(84, 29.461)	(86, 29.461)	(88, 29.099)	(90, 28.45)	(92, 28.468080482897385)	(94, 28.452716297786722)	(96, 28.569416498993963)	(98, 28.432595573440643)	(100, 28.802816901408452)
cell_06_val_R2	(1, 36.594)	(2, 35.726)	(3, 35.454)	(4, 35.484)	(5, 35.448)	(6, 35.312)	(7, 35.542)	(8, 35.508)	(9, 35.354)	(10, 35.604)	(12, 35.547)	(14, 34.608999999999995)	(16, 34.528999999999996)	(18, 34.427)	(20, 34.5)	(22, 34.547)	(24, 34.438)	(26, 33.972)	(28, 33.671)	(30, 33.599000000000004)	(32, 33.588)	(34, 33.537)	(36, 33.533)	(38, 32.808)	(40, 32.483000000000004)	(42, 32.394999999999996)	(44, 32.447)	(46, 32.43300000000001)	(48, 32.607)	(50, 32.504999999999995)	(52, 31.418)	(54, 31.334)	(56, 31.447)	(58, 31.521)	(60, 31.543999999999997)	(62, 31.511000000000003)	(64, 30.552)	(66, 30.393)	(68, 30.496000000000002)	(70, 30.442999999999998)	(72, 30.353)	(74, 30.534)	(76, 29.924)	(78, 29.484)	(80, 29.46)	(82, 29.558)	(84, 29.376)	(86, 29.564999999999998)	(88, 29.055999999999997)	(90, 28.521)	(92, 28.54653507014028)	(94, 28.51302605210421)	(96, 28.6312625250501)	(98, 28.599198396793586)	(100, 28.382765531062123)
